# Based on the LGM50 drive cycle,
# time [s],current [A]
918,0.939651000000000
919,0.627451000000000
920,0.627146000000000
921,0.950332000000000
922,1.22438400000000
923,1.99176000000000
924,1.99130200000000
925,2.05767900000000
926,2.12619200000000
927,0.449683000000000
928,0.794690000000000
929,1.15312400000000
930,1.89852800000000
931,2.25207900000000
932,1.93896400000000
933,2.06469800000000
934,0.189212000000000
935,-0.240177000000000
936,-0.422370000000000
937,-0.593271000000000
938,-0.263676000000000
939,-0.268559000000000
940,-0.303807000000000
941,0.0704970000000000
942,0.635843000000000
943,0.124361000000000
944,0.177615000000000
945,-0.396582000000000
946,0.0827040000000000
947,-0.166171000000000
948,-0.392309000000000
949,-0.599374000000000
950,-0.946670000000000
951,-1.37377000000000
952,-1.94155800000000
953,-0.966812000000000
954,0.680400000000000
955,0.961929000000000
956,1.29060800000000
957,1.76577400000000
958,1.50988000000000
959,1.65667200000000
960,0.986648000000000
961,0.685283000000000
962,0.320134000000000
963,-0.350042000000000
964,-0.501106000000000
965,-0.459907000000000
966,-0.314641000000000
967,-0.436866000000000
968,-0.287633000000000
969,-0.597086000000000
970,-0.770123000000000
971,-0.656901000000000
972,-0.154574000000000
973,0.0659190000000000
974,-0.0238040000000000
975,-0.219730000000000
976,-0.248875000000000
977,0.0279240000000000
978,0.952010000000000
979,0.811017000000000
980,0.496834000000000
981,1.31502300000000
982,1.32127900000000
983,1.51094800000000
984,0.884871000000000
985,-0.0436410000000000
986,0.680858000000000
987,0.676280000000000
988,0.178225000000000
989,0.454566000000000
990,0.184024000000000
991,0.184024000000000
992,-0.171359000000000
993,-0.270542000000000
994,-0.145571000000000
995,-0.248722000000000
996,-0.134890000000000
997,0.125734000000000
998,0.552377000000000
999,1.09071500000000
1000,0.633707000000000
1001,1.23186100000000
1002,0.719921000000000
1003,0.485542000000000
1004,0.764019000000000
1005,0.517891000000000
1006,-0.182956000000000
1007,-0.162203000000000
1008,-0.158846000000000
1009,-0.0427250000000000
1010,-0.391394000000000
1011,-1.01808200000000
1012,-0.629740000000000
1013,-0.0979630000000000
1014,-0.0238040000000000
1015,-0.0306710000000000
1016,1.13847600000000
1017,1.83321900000000
1018,0.946975000000000
1019,-0.0296030000000000
1020,-0.0427250000000000
1021,-0.127565000000000
1022,-0.372625000000000
1023,-0.377508000000000
1024,-0.412604000000000
1025,-0.174563000000000
1026,-0.0154120000000000
1027,-0.0735480000000000
1028,-0.0718700000000000
1029,-0.0177000000000000
1030,0.000305000000000000
1031,0
1032,0
1033,0.00320400000000000
1034,0.253452000000000
1035,0.683604000000000
1036,0.876020000000000
1037,0.522164000000000
1038,0.834974000000000
1039,1.07423500000000
1040,1.83474500000000
1041,1.83764400000000
1042,1.54009300000000
1043,0.515602000000000
1044,0.380102000000000
1045,0.922560000000000
1046,0.216831000000000
1047,0.0289920000000000
1048,0.995499000000000
1049,0.426642000000000
1050,1.01319900000000
1051,0.840467000000000
1052,0.912642000000000
1053,1.55306300000000
1054,-0.156100000000000
1055,-0.0717170000000000
1056,-0.155032000000000
1057,-0.0740060000000000
1058,-0.249332000000000
1059,-0.334020000000000
1060,-0.911574000000000
1061,-0.796674000000000
1062,-0.464027000000000
1063,-0.165103000000000
1064,0.712291000000000
1065,1.03776600000000
1066,1.17525000000000
1067,1.61791400000000
1068,1.23659100000000
1069,1.32478800000000
1070,0.782940000000000
1071,0.236973000000000
1072,-0.150301000000000
1073,-0.324407000000000
1074,0.0233460000000000
1075,0.201724000000000
1076,0.460822000000000
1077,0.207065000000000
1078,-0.0234990000000000
1079,0.201877000000000
1080,-0.160983000000000
1081,-0.0256350000000000
1082,0.986191000000000
1083,0.727245000000000
1084,1.07682900000000
1085,1.43709500000000
1086,0.854505000000000
1087,0.269322000000000
1088,-0.310979000000000
1089,-0.672160000000000
1090,-0.398260000000000
1091,-0.361181000000000
1092,-0.254673000000000
1093,-0.131075000000000
1094,-0.141146000000000
1095,0.591135000000000
1096,0.362554000000000
1097,0.597391000000000
1098,0.655680000000000
1099,-0.150912000000000
1100,0.161135000000000
1101,1.14976700000000
1102,1.23659100000000
1103,1.91409200000000
1104,2.09613200000000
1105,2.28381800000000
1106,2.10559200000000
1107,2.24948500000000
1108,1.99481200000000
1109,2.94834800000000
1110,2.70923900000000
1111,1.94873000000000
1112,0.600900000000000
1113,1.49874100000000
1114,0.180056000000000
1115,0.171969000000000
1116,-0.130617000000000
1117,0.577096000000000
1118,0.0868240000000000
1119,1.49996200000000
1120,1.02967900000000
1121,2.02548300000000
1122,1.09758100000000
1123,1.58281800000000
1124,1.14869900000000
1125,0.691997000000000
1126,-0.552377000000000
1127,-0.154421000000000
1128,-0.128634000000000
1129,0.155184000000000
1130,1.91134500000000
1131,1.58526000000000
1132,2.03601100000000
1133,2.67383800000000
1134,1.71541900000000
1135,2.34271800000000
1136,2.42786300000000
1137,2.43915500000000
1138,2.05417000000000
1139,2.58381000000000
1140,2.18539700000000
1141,2.73670600000000
1142,2.32227100000000
1143,1.12687900000000
1144,-0.0450140000000000
1145,-1.10948300000000
1146,-0.594797000000000
1147,-0.0650030000000000
1148,-0.108339000000000
1149,1.42946500000000
1150,1.90447900000000
1151,1.95300200000000
1152,2.07980500000000
1153,2.05401700000000
1154,0.993362000000000
1155,1.54573900000000
1156,2.78355100000000
1157,1.06797900000000
1158,2.21286300000000
1159,1.10505800000000
1160,1.76516400000000
1161,1.70809500000000
1162,2.06942900000000
1163,1.17753900000000
1164,1.17708100000000
1165,1.17784400000000
1166,1.17753900000000
1167,2.02395700000000
1168,2.40756800000000
1169,1.67788200000000
1170,2.13214300000000
1171,1.72869500000000
1172,2.18936400000000
1173,1.33699500000000
1174,1.78042300000000
1175,0.910658000000000
1176,1.33684300000000
1177,1.33653800000000
1178,1.33669000000000
1179,1.78088000000000
1180,1.35225500000000
1181,1.35256000000000
1182,1.79858100000000
1183,1.36766600000000
1184,1.36797100000000
1185,1.81582400000000
1186,1.83382900000000
1187,2.30777400000000
1188,1.43236400000000
1189,2.34851600000000
1190,1.46471400000000
1191,1.92553600000000
1192,1.85061400000000
1193,1.12611600000000
1194,1.48149800000000
1195,1.48104100000000
1196,1.02281200000000
1197,1.46440800000000
1198,1.00831600000000
1199,1.44914900000000
1200,0.993210000000000
1201,0.980087000000000
1202,1.41573200000000
1203,0.965438000000000
1204,1.85168200000000
1205,0.519417000000000
1206,1.38368800000000
1207,1.38368800000000
1208,0.495766000000000
1209,0.910506000000000
1210,0.897078000000000
1211,0.883650000000000
1212,0.870375000000000
1213,0.856947000000000
1214,0.844739000000000
1215,0.831312000000000
1216,1.24620400000000
1217,0.818189000000000
1218,1.23125000000000
1219,1.23155600000000
1220,0.890822000000000
1221,1.22056900000000
1222,1.21995900000000
1223,1.21995900000000
1224,2.42771000000000
1225,2.57343400000000
1226,3.54406000000000
1227,2.74601400000000
1228,3.65758800000000
1229,3.40016800000000
1230,3.99237000000000
1231,3.63195200000000
1232,3.13283000000000
1233,2.79682600000000
1234,2.84412900000000
1235,2.38025500000000
1236,2.91447300000000
1237,1.93255500000000
1238,2.96314900000000
1239,1.97177100000000
1240,1.97238100000000
1241,1.97238100000000
1242,1.97314400000000
1243,2.49012000000000
1244,1.99374400000000
1245,1.99328600000000
1246,1.99298100000000
1247,1.99298100000000
1248,1.99343900000000
1249,-0.267948000000000
1250,-0.482795000000000
1251,-0.0831620000000000
1252,1.21980600000000
1253,1.20439500000000
1254,1.18745700000000
1255,1.65087400000000
1256,1.65056800000000
1257,1.65026300000000
1258,1.65056800000000
1259,1.65072100000000
1260,2.13397400000000
1261,1.18761000000000
1262,2.61997400000000
1263,1.20408900000000
1264,2.15335300000000
1265,1.20408900000000
1266,1.18730400000000
1267,2.13366900000000
1268,2.64210000000000
1269,2.68711400000000
1270,2.73273800000000
1271,2.77882000000000
1272,2.82490300000000
1273,2.87296900000000
1274,2.91966100000000
1275,2.96803200000000
1276,1.97741700000000
1277,3.01609800000000
1278,3.06553700000000
1279,2.05951000000000
1280,2.58625200000000
1281,2.60883500000000
1282,2.10193000000000
1283,2.10208300000000
1284,2.10193000000000
1285,1.57518900000000
1286,2.08102500000000
1287,1.55657300000000
1288,2.05951000000000
1289,1.53704100000000
1290,2.03906300000000
1291,1.51796700000000
1292,1.49950400000000
1293,2.51789100000000
1294,0.985580000000000
1295,1.97665400000000
1296,1.46242500000000
1297,1.44472400000000
1298,1.93591200000000
1299,1.42656600000000
1300,1.40795000000000
1301,1.39070700000000
1302,1.37285400000000
1303,1.85702300000000
1304,0.858473000000000
1305,1.32066800000000
1306,1.79903900000000
1307,1.30388300000000
1308,1.28648800000000
1309,2.25650400000000
1310,2.27756200000000
1311,1.79949600000000
1312,2.29800900000000
1313,1.81811200000000
1314,1.81811200000000
1315,2.31982900000000
1316,1.83733900000000
1317,1.83688100000000
